Grid search: 1 combinations x 10 sims each
  n_sigma:  [2.0]
  lambda2:  [1.5]
  Base:     output/experiment2
  Output:   output/grid6_*/
============================================================

============================================================
[1/1] n_sigma=2.0, lambda2=1.5
  Output: output/grid6_ns2.0_l21.5
============================================================
[INFO] Using device: mps
[INFO] Data shape: (2000, 95)
[INFO] RL train stocks: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
[INFO] RL val stocks:   [80, 81, 82, 83, 84]
[INFO] Loaded transformer predictions from output/grid6_ns2.0_l21.5/checkpoints
[INFO] Normalization: mean=0.0000, std=0.0002
[INFO] Auto-loaded R²=0.5583 from transformer metrics
[INFO] Policy parameters: 4,677
[INFO] Env params: half_spread=0.0005, target_vol=0.02, R²=0.5583214163780212, n_sigma=2.0, tau=20, lambda2=1.5

 Iter    MeanRew    PolLoss      VLoss    Entropy         KL    EntCoef     LogStd     RewStd     Time
  122    -0.0000    -0.0004     0.0006     0.2055     0.0030     0.0002    -1.3143       0.24     2.6s
  123    -0.0000    -0.0004     0.0010     0.2221     0.0030     0.0002    -1.3026       0.24     2.5s
  124    -0.0000     0.0001     0.0020     0.2260     0.0030     0.0002    -1.3077       0.24     2.6s
  125    -0.0000    -0.0011     0.0005     0.2247     0.0025     0.0002    -1.3052       0.24     2.4s
  126    -0.0000     0.0000     0.0009     0.2356     0.0025     0.0002    -1.3002       0.24     2.6s
  127    -0.0000    -0.0002     0.0007     0.2260     0.0036     0.0002    -1.3083       0.24     2.5s
  128    -0.0000    -0.0010     0.0008     0.2259     0.0041     0.0002    -1.3025       0.23     2.6s
  129    -0.0000    -0.0012     0.0010     0.2381     0.0039     0.0002    -1.2993       0.23     2.6s
  130    -0.0000    -0.0007     0.0010     0.2360     0.0032     0.0002    -1.3028       0.23     2.6s
  131    -0.0000    -0.0001     0.0009     0.2259     0.0027     0.0002    -1.3055       0.23     2.5s
  132    -0.0000    -0.0001     0.0007     0.2246     0.0029     0.0002    -1.3083       0.23     2.5s
  133    -0.0000    -0.0002     0.0006     0.2176     0.0029     0.0002    -1.3101       0.23     2.5s
  134    -0.0000    -0.0003     0.0005     0.2225     0.0030     0.0002    -1.3070       0.23     2.5s
  135    -0.0000     0.0003     0.0006     0.2273     0.0021     0.0002    -1.3040       0.23     2.6s
  136    -0.0000    -0.0007     0.0008     0.2322     0.0031     0.0002    -1.3019       0.23     2.5s
  137    -0.0000    -0.0002     0.0005     0.2318     0.0032     0.0002    -1.3018       0.23     2.5s
  138    -0.0000    -0.0004     0.0004     0.2390     0.0035     0.0002    -1.2989       0.23     2.4s
  139    -0.0000    -0.0007     0.0009     0.2245     0.0030     0.0002    -1.3104       0.23     2.5s
  140    -0.0000    -0.0004     0.0016     0.2057     0.0031     0.0002    -1.3221       0.22     2.6s
  141    -0.0000    -0.0004     0.0006     0.1765     0.0034     0.0002    -1.3370       0.22     2.6s
  142    -0.0000    -0.0005     0.0005     0.1595     0.0023     0.0002    -1.3388       0.22     2.5s
  143    -0.0000     0.0001     0.0005     0.1635     0.0028     0.0001    -1.3348       0.22     2.6s
  144    -0.0000    -0.0001     0.0008     0.1636     0.0038     0.0001    -1.3354       0.22     2.4s
  145    -0.0000    -0.0006     0.0009     0.1549     0.0031     0.0001    -1.3461       0.22     2.4s
  146    -0.0000    -0.0003     0.0004     0.1402     0.0035     0.0001    -1.3515       0.22     2.5s
  147    -0.0000     0.0000     0.0005     0.1454     0.0031     0.0001    -1.3437       0.22     2.6s
  148    -0.0000    -0.0007     0.0004     0.1420     0.0030     0.0001    -1.3520       0.22     2.5s
  149    -0.0000     0.0006     0.0004     0.1301     0.0020     0.0001    -1.3565       0.22     2.5s
  150    -0.0000     0.0004     0.0003     0.1319     0.0027     0.0001    -1.3492       0.22     2.6s
  151    -0.0000     0.0003     0.0005     0.1384     0.0024     0.0001    -1.3513       0.22     2.6s
  152    -0.0000     0.0003     0.0004     0.1458     0.0027     0.0001    -1.3403       0.22     2.6s
  153    -0.0000    -0.0004     0.0004     0.1700     0.0032     0.0001    -1.3290       0.21     2.5s
  154    -0.0000     0.0005     0.0006     0.1791     0.0026     0.0001    -1.3300       0.21     2.6s
  155    -0.0000    -0.0000     0.0004     0.1844     0.0033     0.0001    -1.3249       0.21     2.4s
  156    -0.0000    -0.0004     0.0004     0.1872     0.0026     0.0001    -1.3285       0.21     2.6s
  157    -0.0000    -0.0004     0.0005     0.1667     0.0028     0.0001    -1.3403       0.21     2.5s
  158    -0.0000    -0.0010     0.0003     0.1503     0.0030     0.0001    -1.3466       0.21     2.5s
