Grid search: 18 combinations x 10 sims each
  n_sigma:  [0.0, 0.1, 0.2, 0.5, 1.0, 2.0]
  lambda2:  [0.0, 1.5, 10.0]
  Base:     output/experiment2
  Output:   output/grid7_*/
============================================================

============================================================
[1/18] n_sigma=0.0, lambda2=0.0
  Output: output/grid7_ns0.0_l20.0
============================================================
[INFO] Using device: mps
[INFO] Data shape: (2000, 95)
[INFO] RL train stocks: [60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]
[INFO] RL val stocks:   [80, 81, 82, 83, 84]
[INFO] Loaded transformer predictions from output/grid7_ns0.0_l20.0/checkpoints
[INFO] Normalization: mean=0.0000, std=0.0002
[INFO] Auto-loaded R²=0.5583 from transformer metrics
[INFO] Policy parameters: 4,677
[INFO] Env params: half_spread=0.0005, target_vol=0.02, R²=0.5583214163780212, n_sigma=0.0, tau=20, lambda2=0.0

 Iter    MeanRew    PolLoss      VLoss    Entropy         KL    EntCoef     LogStd     RewStd     Time
  171    -0.0001    -0.0024     0.8401     0.6980     0.0036     0.0001    -1.0643       0.02     4.2s
  172    -0.0002    -0.0022     0.4543     0.6979     0.0025     0.0001    -1.0747       0.02     4.2s
  173    -0.0003    -0.0017     0.4480     0.6804     0.0025     0.0001    -1.0830       0.02     4.2s
  174    -0.0001    -0.0019     0.7435     0.6676     0.0058     0.0001    -1.0882       0.02     4.2s
  175    -0.0001    -0.0026     0.8393     0.6485     0.0043     0.0001    -1.0989       0.02     4.2s
  176     0.0002    -0.0009     0.4696     0.6361     0.0027     0.0001    -1.1039       0.02     4.3s
  177    -0.0000    -0.0007     0.8331     0.6270     0.0027     0.0001    -1.1068       0.02     4.3s
  178     0.0002    -0.0011     0.4314     0.6201     0.0071     0.0001    -1.1123       0.02     4.2s
  179     0.0002    -0.0010     0.3989     0.6102     0.0061     0.0001    -1.1139       0.02     4.2s
  180    -0.0000    -0.0004     0.7324     0.6132     0.0047     0.0001    -1.1120       0.02     4.3s
  181    -0.0000    -0.0014     0.3605     0.6144     0.0053     0.0001    -1.1114       0.02     4.2s
  182     0.0000    -0.0020     0.6387     0.6141     0.0034     0.0001    -1.1137       0.02     4.3s
  183     0.0001    -0.0015     0.2037     0.6012     0.0021     0.0000    -1.1241       0.02     4.3s
  184    -0.0000    -0.0014     0.2947     0.5928     0.0062     0.0000    -1.1224       0.02     4.3s
  185    -0.0000    -0.0046     0.3008     0.5928     0.0086     0.0000    -1.1228       0.02     3.6s KL!
  186    -0.0000    -0.0005     0.3627     0.5915     0.0041     0.0000    -1.1245       0.02     4.2s
  187     0.0000    -0.0003     0.0347     0.5858     0.0031     0.0000    -1.1278       0.02     4.2s
  188     0.0000    -0.0025     0.1823     0.5723     0.0057     0.0000    -1.1355       0.02     4.1s
  189    -0.0000    -0.0005     0.0282     0.5650     0.0019     0.0000    -1.1367       0.02     4.2s
  190     0.0000    -0.0019     0.0288     0.5622     0.0021     0.0000    -1.1401       0.02     4.3s
  191    -0.0000    -0.0000     0.0106     0.5508     0.0024     0.0000    -1.1481       0.02     4.3s
  192     0.0000    -0.0010     0.0055     0.5344     0.0030     0.0000    -1.1564       0.02     4.2s
  193    -0.0000    -0.0017     0.0173     0.5159     0.0011     0.0000    -1.1645       0.02     4.2s
  194    -0.0000    -0.0014     0.0353     0.4955     0.0032     0.0000    -1.1780       0.02     4.2s
  195    -0.0000    -0.0006     0.0618     0.4694     0.0037     0.0000    -1.1888       0.02     4.0s
  196    -0.0000    -0.0016     0.0112     0.4623     0.0038     0.0000    -1.1857       0.02     4.2s
  197    -0.0000    -0.0023     0.0528     0.4556     0.0030     0.0000    -1.1949       0.02     4.2s
  198    -0.0000    -0.0017     0.0169     0.4349     0.0025     0.0000    -1.2078       0.02     4.3s
  199     0.0000    -0.0019     0.0217     0.4110     0.0035     0.0000    -1.2193       0.02     4.2s

[INFO] Training complete in 845.8s
[INFO] Best mean reward: 0.0012
[INFO] Saved to output/grid7_ns0.0_l20.0/checkpoints_rl/
[INFO] Experiment: output/grid7_ns0.0_l20.0
[INFO] Simulation seed: 1042
[INFO] Generated 2000 timesteps, SNR=0.30
[INFO] Transformer predictions generated
[INFO] Loaded policy from output/grid7_ns0.0_l20.0/checkpoints_rl/best_policy.pt
[INFO] Loaded obs normalizer from output/grid7_ns0.0_l20.0/checkpoints_rl/best_normalizer.npz

[INFO] Simulation complete:
  Steps:      1999
  Fills:      344B / 120S
  Total PnL:  -33.8682
  Total Rew:  -33.8682
  Avg |Pos|:  46.17

Saved: output/grid7_ns0.0_l20.0/checkpoints_rl/sim_results_1042.json
  sim 1/10: seed=1042  PnL=-33.8682  Fills=464  Avg|Pos|=46.17
[INFO] Experiment: output/grid7_ns0.0_l20.0
[INFO] Simulation seed: 1043
[INFO] Generated 2000 timesteps, SNR=0.30
[INFO] Transformer predictions generated
[INFO] Loaded policy from output/grid7_ns0.0_l20.0/checkpoints_rl/best_policy.pt
[INFO] Loaded obs normalizer from output/grid7_ns0.0_l20.0/checkpoints_rl/best_normalizer.npz

[INFO] Simulation complete:
  Steps:      1999
  Fills:      150B / 95S
  Total PnL:  11.7012
  Total Rew:  11.7012
  Avg |Pos|:  64.48

Saved: output/grid7_ns0.0_l20.0/checkpoints_rl/sim_results_1043.json
  sim 2/10: seed=1043  PnL=11.7012  Fills=245  Avg|Pos|=64.48
[INFO] Experiment: output/grid7_ns0.0_l20.0
[INFO] Simulation seed: 1044
[INFO] Generated 2000 timesteps, SNR=0.30
[INFO] Transformer predictions generated
[INFO] Loaded policy from output/grid7_ns0.0_l20.0/checkpoints_rl/best_policy.pt
[INFO] Loaded obs normalizer from output/grid7_ns0.0_l20.0/checkpoints_rl/best_normalizer.npz

[INFO] Simulation complete:
  Steps:      1999
  Fills:      59B / 38S
  Total PnL:  -4.9488
  Total Rew:  -4.9488
  Avg |Pos|:  10.51

Saved: output/grid7_ns0.0_l20.0/checkpoints_rl/sim_results_1044.json
  sim 3/10: seed=1044  PnL=-4.9488  Fills=97  Avg|Pos|=10.51
[INFO] Experiment: output/grid7_ns0.0_l20.0
[INFO] Simulation seed: 1045
[INFO] Generated 2000 timesteps, SNR=0.30
[INFO] Transformer predictions generated
[INFO] Loaded policy from output/grid7_ns0.0_l20.0/checkpoints_rl/best_policy.pt
[INFO] Loaded obs normalizer from output/grid7_ns0.0_l20.0/checkpoints_rl/best_normalizer.npz

[INFO] Simulation complete:
  Steps:      1999
  Fills:      547B / 42S
  Total PnL:  -56.1862
  Total Rew:  -56.1862
  Avg |Pos|:  140.66

Saved: output/grid7_ns0.0_l20.0/checkpoints_rl/sim_results_1045.json
  sim 4/10: seed=1045  PnL=-56.1862  Fills=589  Avg|Pos|=140.66
[INFO] Experiment: output/grid7_ns0.0_l20.0
[INFO] Simulation seed: 1046
[INFO] Generated 2000 timesteps, SNR=0.30
[INFO] Transformer predictions generated
[INFO] Loaded policy from output/grid7_ns0.0_l20.0/checkpoints_rl/best_policy.pt
[INFO] Loaded obs normalizer from output/grid7_ns0.0_l20.0/checkpoints_rl/best_normalizer.npz

[INFO] Simulation complete:
  Steps:      1999
  Fills:      1079B / 29S
  Total PnL:  -56.6364
  Total Rew:  -56.6364
  Avg |Pos|:  325.01

Saved: output/grid7_ns0.0_l20.0/checkpoints_rl/sim_results_1046.json
  sim 5/10: seed=1046  PnL=-56.6364  Fills=1108  Avg|Pos|=325.01
[INFO] Experiment: output/grid7_ns0.0_l20.0
[INFO] Simulation seed: 1047
[INFO] Generated 2000 timesteps, SNR=0.30
[INFO] Transformer predictions generated
[INFO] Loaded policy from output/grid7_ns0.0_l20.0/checkpoints_rl/best_policy.pt
